x=-0.0106552   y=-0.00250748   z=-0.000135591
x=-0.0120342   y=0.00248766   z=-0.000147966
x=-0.0113373   y=0.00208438   z=-0.000109754
x=-0.00493794   y=-0.00740044   z=-5.89041e-05
x=0.00186012   y=0.00644443   z=8.05534e-05
x=-0.00526691   y=0.00172477   z=-6.80379e-05
x=-0.0092537   y=-0.00294964   z=-7.57382e-05
x=-0.00138543   y=-0.00281754   z=-1.33591e-06
x=0.00235958   y=-0.00183031   z=-3.91388e-05
x=-0.000602774   y=-0.00228112   z=4.19117e-06
x=-6.98611e-07   y=0.00043615   z=1.65022e-05
x=-0.0108895   y=-0.00700991   z=-0.000151962
x=-0.0106983   y=0.00250718   z=-0.00010257
x=-0.0121624   y=-0.00392467   z=-0.000100116
x=-0.00378784   y=-0.00612482   z=-4.89017e-05
x=-0.00671855   y=-0.00286197   z=-5.47392e-05
x=-0.00579678   y=-0.00381497   z=-6.12897e-05
x=-0.00349392   y=-0.00189491   z=-2.85417e-05
x=-0.00258096   y=-0.00135758   z=-1.63135e-05
x=-0.00158136   y=0.000102216   z=-6.03631e-06
x=-0.00518969   y=-0.00469315   z=-3.31707e-05
x=-0.00376407   y=-0.00828634   z=-9.336e-05
x=-0.00620665   y=-0.00166904   z=-7.63482e-05
x=-0.00815388   y=-0.00130212   z=-0.00010657
x=-0.000596396   y=-0.00160035   z=-3.37597e-05
x=-0.00330629   y=0.00447148   z=4.16076e-05
x=-0.0112152   y=0.000193157   z=-0.0001084
x=-0.00518172   y=-0.00603392   z=-4.40683e-05
x=-0.00598179   y=-0.000418181   z=-8.7793e-05
x=-0.00788059   y=-0.00272226   z=-8.83718e-05
x=-0.00878233   y=0.00378148   z=-1.28677e-05
x=-0.0023843   y=0.0025846   z=-1.01512e-05
x=-0.00303349   y=-0.00310866   z=-2.03482e-05
x=-0.00613327   y=-0.00341124   z=2.7929e-05
x=-0.012343   y=-0.00369611   z=-0.000132477
x=-0.0118215   y=-0.00684934   z=-0.000154075
x=0.00102806   y=-0.00127524   z=-4.36216e-05
x=-0.00697927   y=-0.00256259   z=-0.000113709
x=-0.013364   y=0.00229757   z=-0.00010349
x=-0.00354197   y=0.00109233   z=-7.17458e-05
x=0.0012312   y=-0.00190014   z=7.22588e-05
x=-0.00204999   y=-0.00674186   z=-1.11879e-05
x=-0.0139277   y=0.00171203   z=-8.82888e-05
x=-0.00952902   y=0.00395338   z=-7.20538e-05
x=-0.000490472   y=0.00360227   z=1.93562e-06
x=-0.00768064   y=0.00114648   z=-8.03746e-05
x=-0.0144936   y=0.00251309   z=-0.000120006
x=-0.00856408   y=0.00013606   z=-8.49334e-05
x=-0.00414876   y=-0.00746142   z=-6.47582e-05
x=-0.00832432   y=0.00266074   z=-5.27876e-06
x=-0.0102054   y=0.00563324   z=-8.58275e-05
x=-0.00140334   y=0.0048187   z=2.29916e-05
x=-0.00682041   y=0.0134957   z=9.21563e-05
x=-0.00640255   y=-0.00227919   z=-5.83761e-05
x=-0.00453557   y=0.00268867   z=-1.66766e-05
x=-0.0091983   y=0.00662612   z=-9.75535e-05
x=-0.00619657   y=0.0013399   z=-6.69423e-05
x=-0.0128144   y=0.00426316   z=-6.35169e-05
x=-0.00947891   y=0.00226662   z=-8.68769e-05
x=-0.0089982   y=-0.00191387   z=-7.35226e-05
x=-0.00254624   y=0.00271173   z=3.30093e-05
x=-0.00924332   y=0.00448705   z=2.72092e-07
x=0.00156993   y=0.00623   z=4.12772e-05
x=-0.00500611   y=0.00154567   z=-3.57928e-05
x=-0.0127399   y=-0.00620771   z=-0.000145377
x=-0.00745258   y=0.00237993   z=-1.91025e-05
x=-0.00177352   y=0.000806125   z=-3.76208e-05
x=-0.00630588   y=-0.00263893   z=-4.18787e-05
x=-0.00277855   y=0.00113142   z=9.10211e-06
x=-0.00655149   y=-0.00151648   z=-0.000106357
x=-0.00716064   y=0.00293869   z=-3.4209e-05
x=-0.00907012   y=0.000408853   z=-4.96699e-05
x=-0.00184718   y=-0.00195145   z=-4.71708e-05
x=-0.00187845   y=0.00100934   z=1.47395e-05
x=-0.0137745   y=0.00280458   z=-1.80579e-05
x=-0.00983485   y=-0.000368578   z=-8.54965e-05
x=-0.00116286   y=-0.00262573   z=-6.75433e-05
x=-0.00799489   y=0.00792182   z=-4.97283e-05
x=0.000892244   y=0.00449478   z=3.03385e-05
x=-0.0135143   y=0.00717573   z=-8.3064e-05
x=-0.00319976   y=0.00054713   z=-4.63766e-05
x=-0.00316937   y=0.00137109   z=-1.5431e-05
x=-0.0138737   y=0.00274832   z=-8.66525e-05
x=-0.00341843   y=0.000941473   z=-3.21762e-05
x=-0.00614022   y=-9.74906e-05   z=-7.25539e-05
x=-0.00468795   y=0.00175686   z=-2.27472e-05
x=-0.00897538   y=0.000514752   z=-7.46013e-05
x=-0.00851077   y=-0.00403897   z=-9.48116e-05
x=-0.00710604   y=0.00209441   z=-2.2969e-05
x=-0.00728469   y=-0.00208477   z=-8.28533e-05
x=-0.00596779   y=0.00290896   z=4.50479e-05
x=-0.00146583   y=-0.00184754   z=5.38268e-05
x=-0.00470139   y=0.00550055   z=-2.6492e-05
x=-0.0092796   y=0.00270361   z=-1.79605e-05
x=-0.0091086   y=0.00513924   z=-3.55225e-05
x=-0.0072497   y=0.000170224   z=3.74884e-06
x=5.75239e-05   y=-0.00360303   z=-2.51997e-05
x=-0.00640523   y=0.00111369   z=1.09943e-05
x=-0.00623947   y=0.00662921   z=-7.78884e-05
x=-0.0174331   y=0.00503042   z=-0.00015498
x=-0.00123141   y=0.0117069   z=-2.64035e-05
x=-0.00291754   y=0.00342779   z=-5.62022e-07
x=-0.0035831   y=-0.00225024   z=-2.7795e-05
x=-0.00257654   y=0.00108791   z=-1.64606e-06
x=-0.0046314   y=0.00224684   z=3.56958e-06
x=-0.00956992   y=0.00260316   z=-7.74943e-05
x=-0.00928366   y=0.002681   z=-8.75104e-05
x=-0.00755258   y=0.00106804   z=-6.5433e-05
x=-0.00614633   y=0.000911523   z=-4.0751e-05
x=-0.00641226   y=0.00198817   z=-5.85664e-05
x=-0.0122824   y=-0.000879895   z=-7.8252e-05
x=-0.00408781   y=-0.00164472   z=-6.34584e-05
x=-0.00416883   y=0.00458784   z=-1.58143e-05
x=-0.00597362   y=0.00374975   z=-7.84821e-05
x=-0.00825798   y=0.00578441   z=-2.10709e-05
x=-0.0159162   y=0.00681577   z=-0.000195443
x=-0.00686838   y=0.00466889   z=-2.30838e-05
x=-0.00919941   y=0.00507816   z=-0.000106168
x=-0.00800094   y=0.00268132   z=-8.01843e-05
x=-0.00847961   y=0.00758521   z=-4.72137e-05
x=-0.00769655   y=0.000567769   z=-7.77028e-05
x=-0.00407055   y=0.00559712   z=2.78417e-05
x=-0.00435628   y=0.00378735   z=-4.65269e-05
x=-0.0029874   y=0.00705014   z=-2.07508e-05
x=-0.0136553   y=0.00143296   z=-0.00013181
x=-0.00645976   y=0.0085495   z=-7.14916e-05
x=-0.00388396   y=0.00200233   z=-2.35836e-05
x=-0.00269716   y=0.0062004   z=1.69052e-05
x=-0.0117072   y=0.00311163   z=-0.000101971
x=-0.011837   y=-0.00122196   z=-0.000132819
x=-0.00809802   y=-0.010489   z=-4.60653e-05
x=-0.00517851   y=0.00501368   z=-2.03038e-05
x=0.000253325   y=0.00117567   z=-1.47233e-05
x=-0.00374908   y=-0.000173531   z=2.18544e-06
x=-0.011308   y=-0.00268422   z=-7.09981e-05
x=-0.0044099   y=0.00451281   z=2.55745e-05
x=-0.00391859   y=-0.00223389   z=-5.72213e-05
x=-0.0120816   y=-0.00425955   z=-0.000107346
x=-0.00468844   y=0.000405541   z=-5.2063e-05
x=-0.0129397   y=0.00288451   z=-0.000130721
x=0.00576976   y=0.00150666   z=6.04034e-05
